Ticker,ShortName,Sector,Industry,Price
MMM,3M,Industrials,Industrial Conglomerates,141.61000061035156
AOS,A. O. Smith,Industrials,Building Products,68.69000244140625
ABT,Abbott Laboratories,Health Care,Health Care Equipment,131.89999389648438
ABBV,AbbVie,Health Care,Biotechnology,197.14500427246094
ACN,Accenture,Information Technology,IT Consulting & Other Services,305.9200134277344
ADBE,Adobe Inc.,Information Technology,Application Software,382.3450012207031
AMD,Advanced Micro Devices,Information Technology,Semiconductors,99.27999877929688
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10.265000343322754
AFL,Aflac,Financials,Life & Health Insurance,105.48500061035156
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,108.16999816894531
APD,Air Products,Materials,Industrial Gases,278.80499267578125
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",124.83999633789062
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,82.7300033569336
ALB,Albemarle Corporation,Materials,Specialty Chemicals,61.20000076293945
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,74.31500244140625
ALGN,Align Technology,Health Care,Health Care Supplies,178.25
ALLE,Allegion,Industrials,Building Products,141.39999389648438
LNT,Alliant Energy,Utilities,Electric Utilities,60.9900016784668
ALL,Allstate,Financials,Property & Casualty Insurance,197.44000244140625
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,164.1060028076172
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,165.88999938964844
MO,Altria,Consumer Staples,Tobacco,59.310001373291016
AMZN,Amazon,Consumer Discretionary,Broadline Retail,191.375
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,9.279999732971191
AEE,Ameren,Utilities,Multi-Utilities,98.31999969482422
AEP,American Electric Power,Utilities,Electric Utilities,107.44000244140625
AXP,American Express,Financials,Consumer Finance,276.70001220703125
AIG,American International Group,Financials,Multi-line Insurance,83.2699966430664
AMT,American Tower,Real Estate,Telecom Tower REITs,222.25999450683594
AWK,American Water Works,Utilities,Water Utilities,146.22999572753906
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,483.510009765625
AME,Ametek,Industrials,Electrical Components & Equipment,170.6300048828125
AMGN,Amgen,Health Care,Biotechnology,277.94000244140625
APH,Amphenol,Information Technology,Electronic Components,80.39700317382812
ADI,Analog Devices,Information Technology,Semiconductors,199.58709716796875
ANSS,Ansys,Information Technology,Application Software,326.3800048828125
AON,Aon plc,Financials,Insurance Brokers,356.1199951171875
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,16.454999923706055
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,136.67999267578125
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",206.3699951171875
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,156.59500122070312
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,58.869998931884766
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,91.68499755859375
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,47.7599983215332
ANET,Arista Networks,Information Technology,Communications Equipment,91.66999816894531
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,329.7550048828125
AIZ,Assurant,Financials,Multi-line Insurance,195.00999450683594
T,AT&T,Communication Services,Integrated Telecommunication Services,27.523500442504883
ATO,Atmos Energy,Utilities,Gas Utilities,160.61500549316406
ADSK,Autodesk,Information Technology,Application Software,279.32000732421875
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,304.3500061035156
AZO,AutoZone,Consumer Discretionary,Automotive Retail,3737.568115234375
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,211.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,171.60000610351562
AXON,Axon Enterprise,Industrials,Aerospace & Defense,633.3200073242188
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,36.849998474121094
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",51.45000076293945
BAC,Bank of America,Financials,Diversified Banks,41.02360153198242
BAX,Baxter International,Health Care,Health Care Equipment,30.469999313354492
BDX,Becton Dickinson,Health Care,Health Care Equipment,166.55999755859375
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,539.375
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,68.04000091552734
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,50.7400016784668
BIIB,Biogen,Health Care,Biotechnology,122.9000015258789
BLK,BlackRock,Financials,Asset Management & Custody Banks,929.8300170898438
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,138.05499267578125
BK,BNY Mellon,Financials,Asset Management & Custody Banks,82.33999633789062
BA,Boeing,Industrials,Aerospace & Defense,187.07000732421875
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",5158.259765625
BSX,Boston Scientific,Health Care,Health Care Equipment,104.67610168457031
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,50.05500030517578
AVGO,Broadcom,Information Technology,Semiconductors,205.30999755859375
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,233.3699951171875
BRO,Brown & Brown,Financials,Insurance Brokers,110.4000015258789
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,34.7599983215332
BLDR,Builders FirstSource,Industrials,Building Products,114.58999633789062
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,78.875
BXP,"BXP, Inc.",Real Estate,Office REITs,65.18000030517578
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,90.8499984741211
CDNS,Cadence Design Systems,Information Technology,Application Software,309.19000244140625
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,28.030000686645508
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,119.36499786376953
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,35.869998931884766
COF,Capital One,Financials,Consumer Finance,187.36500549316406
CAH,Cardinal Health,Health Care,Health Care Distributors,148.42999267578125
KMX,CarMax,Consumer Discretionary,Automotive Retail,66.4800033569336
