Ticker,ShortName,Sector,Industry,Price
MMM,3M Company,Industrials,Conglomerates,140.54
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,68.55
ABT,Abbott Laboratories,Healthcare,Medical Devices,132.03
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,196.51
ACN,Accenture plc,Technology,Information Technology Services,305.015
ADBE,Adobe Inc.,Technology,Software - Application,381.46
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,98.995
AES,The AES Corporation,Utilities,Utilities - Diversified,10.285
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,105.28
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,108.28
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,277.655
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,123.915
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,82.55
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,59.94
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,74.6
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,178.56
ALLE,Allegion plc,Industrials,Security & Protection Services,141.02
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,60.76
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,197.735
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,164.425
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,166.23
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,59.435
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,189.65
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,9.265
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,97.68
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,107.74
AXP,American Express Company,Financial Services,Credit Services,274.6464
AIG,"American International Group, I",Financial Services,Insurance - Diversified,82.5175
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,222.03
AWK,"American Water Works Company, I",Utilities,Utilities - Regulated Water,146.44
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,482.2
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,170.11
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,279.675
APH,Amphenol Corporation,Technology,Electronic Components,79.93
ADI,"Analog Devices, Inc.",Technology,Semiconductors,198.99
ANSS,"ANSYS, Inc.",Technology,Software - Application,325.9
AON,Aon plc,Financial Services,Insurance Brokers,355.06
APA,APA Corporation,Energy,Oil & Gas E&P,16.33
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,135.67
AAPL,Apple Inc.,Technology,Consumer Electronics,205.38
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,155.09
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,58.81
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,91.84
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,47.77
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,90.745
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,328.67
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,194.85
T,AT&T Inc.,Communication Services,Telecom Services,27.53
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,160.315
ADSK,"Autodesk, Inc.",Technology,Software - Application,277.92
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,303.87
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,3745.0
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,211.84
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,171.83
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,632.04
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,37.07
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,51.5
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,40.92
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,30.57
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,168.275
